CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
65,IPC,392,1,1
66,ITACT,66C,1,1
66,ITACT,66D,2,2
67,IPC,147,1,1
67,IPC,148,2,2
68,IPC,379,1,1
69,IPC,379,1,1
70,IPC,420,1,1
71,IPC,380,1,1
72,IPC,380,1,1
73,IPC,302,1,1
74,IPC,307,1,1
75,IPC,380,1,1
76,IPC,420,1,1
77,IPC,147,1,1
77,IPC,148,2,2
78,ITACT,66C,1,1
78,ITACT,66D,2,2
79,IPC,454,1,1
79,IPC,457,2,2
80,IPC,379,1,1
81,IPC,420,1,1
82,ITACT,66C,1,1
82,ITACT,66D,2,2
83,NDPS,20,1,1
83,NDPS,22,2,2
84,IPC,380,1,1
85,IPC,392,1,1
86,IPC,392,1,1
87,IPC,379,1,1
88,IPC,380,1,1
89,IPC,392,1,1
90,ITACT,66C,1,1
90,ITACT,66D,2,2
91,ITACT,66C,1,1
91,ITACT,66D,2,2
92,IPC,379,1,1
92,IPC,356,2,2
93,IPC,392,1,1
94,IPC,379,1,1
95,IPC,379,1,1
96,ITACT,66C,1,1
96,ITACT,66D,2,2
97,IPC,392,1,1
98,IPC,302,1,1
99,IPC,420,1,1
100,IPC,379,1,1
100,IPC,356,2,2
101,IPC,454,1,1
101,IPC,457,2,2
102,IPC,380,1,1
103,IPC,379,1,1
103,IPC,356,2,2
104,ITACT,66C,1,1
104,ITACT,66D,2,2
105,IPC,380,1,1
106,IPC,302,1,1
107,IPC,307,1,1
108,IPC,454,1,1
108,IPC,457,2,2
109,IPC,454,1,1
109,IPC,457,2,2
110,IPC,324,1,1
110,IPC,326,2,2
111,IPC,302,1,1
112,IPC,379,1,1
113,IPC,392,1,1
114,IPC,380,1,1
115,IPC,420,1,1
116,IPC,379,1,1
116,IPC,356,2,2
117,IPC,489A,1,1
118,IPC,392,1,1
119,IPC,392,1,1
120,IPC,489A,1,1
121,IPC,379,1,1
121,IPC,356,2,2
122,ITACT,66C,1,1
122,ITACT,66D,2,2
123,IPC,379,1,1
124,IPC,379,1,1
125,IPC,380,1,1
126,IPC,379,1,1
126,IPC,356,2,2
127,IPC,379,1,1
127,IPC,356,2,2
128,IPC,379,1,1
128,IPC,356,2,2
129,IPC,379,1,1
130,IPC,420,1,1
131,IPC,147,1,1
131,IPC,148,2,2
132,IPC,454,1,1
132,IPC,457,2,2
133,IPC,380,1,1
134,IPC,379,1,1
135,IPC,392,1,1
136,IPC,302,1,1
137,IPC,324,1,1
137,IPC,326,2,2
138,IPC,302,1,1
139,IPC,380,1,1
140,IPC,379,1,1
140,IPC,356,2,2
141,NDPS,20,1,1
141,NDPS,22,2,2
142,IPC,147,1,1
142,IPC,148,2,2
143,ITACT,66C,1,1
143,ITACT,66D,2,2
144,IPC,379,1,1
145,IPC,302,1,1
146,IPC,395,1,1
147,IPC,379,1,1
148,IPC,363,1,1
148,IPC,365,2,2
149,IPC,392,1,1
150,IPC,379,1,1
151,IPC,379,1,1
152,IPC,379,1,1
152,IPC,356,2,2
153,IPC,147,1,1
153,IPC,148,2,2
154,IPC,363,1,1
154,IPC,365,2,2
155,IPC,307,1,1
156,IPC,392,1,1
157,IPC,454,1,1
157,IPC,457,2,2
158,IPC,147,1,1
158,IPC,148,2,2
159,IPC,420,1,1
160,IPC,380,1,1
161,IPC,489A,1,1
162,ITACT,66C,1,1
162,ITACT,66D,2,2
163,IPC,379,1,1
163,IPC,356,2,2
164,IPC,384,1,1
165,NDPS,20,1,1
165,NDPS,22,2,2
166,IPC,379,1,1
166,IPC,356,2,2
167,IPC,147,1,1
167,IPC,148,2,2
168,IPC,454,1,1
168,IPC,457,2,2
169,IPC,379,1,1
170,IPC,363,1,1
170,IPC,365,2,2
171,IPC,307,1,1
172,IPC,395,1,1
173,IPC,379,1,1
173,IPC,356,2,2
174,IPC,379,1,1
175,IPC,147,1,1
175,IPC,148,2,2
176,IPC,379,1,1
177,IPC,392,1,1
178,IPC,379,1,1
178,IPC,356,2,2
179,ITACT,66C,1,1
179,ITACT,66D,2,2
180,IPC,380,1,1
181,ITACT,66C,1,1
181,ITACT,66D,2,2
182,IPC,379,1,1
182,IPC,356,2,2
183,IPC,420,1,1
184,IPC,307,1,1
185,IPC,379,1,1
186,IPC,380,1,1
187,IPC,384,1,1
188,IPC,147,1,1
188,IPC,148,2,2
189,ITACT,66C,1,1
189,ITACT,66D,2,2
190,IPC,420,1,1
191,IPC,379,1,1
191,IPC,356,2,2
192,IPC,489A,1,1
193,IPC,420,1,1
194,IPC,363,1,1
194,IPC,365,2,2
195,IPC,363,1,1
195,IPC,365,2,2
196,IPC,384,1,1
197,IPC,420,1,1
198,ITACT,66C,1,1
198,ITACT,66D,2,2
199,IPC,302,1,1
200,IPC,379,1,1
200,IPC,356,2,2
201,IPC,379,1,1
202,NDPS,20,1,1
202,NDPS,22,2,2
203,IPC,489A,1,1
204,IPC,379,1,1
204,IPC,356,2,2
205,IPC,392,1,1
206,ITACT,66C,1,1
206,ITACT,66D,2,2
207,IPC,384,1,1
208,IPC,420,1,1
209,IPC,380,1,1
210,IPC,384,1,1
211,IPC,420,1,1
212,IPC,302,1,1
213,IPC,380,1,1
214,IPC,324,1,1
214,IPC,326,2,2
215,IPC,379,1,1
216,IPC,302,1,1
217,IPC,379,1,1
218,IPC,379,1,1
219,IPC,420,1,1
220,ITACT,66C,1,1
220,ITACT,66D,2,2
221,IPC,454,1,1
221,IPC,457,2,2
222,IPC,454,1,1
222,IPC,457,2,2
223,IPC,420,1,1
224,ITACT,66C,1,1
224,ITACT,66D,2,2
225,IPC,384,1,1
226,IPC,302,1,1
227,IPC,379,1,1
228,IPC,147,1,1
228,IPC,148,2,2
229,IPC,420,1,1
230,IPC,454,1,1
230,IPC,457,2,2
231,IPC,379,1,1
231,IPC,356,2,2
232,ITACT,66C,1,1
232,ITACT,66D,2,2
233,IPC,307,1,1
234,IPC,379,1,1
234,IPC,356,2,2
235,IPC,454,1,1
235,IPC,457,2,2
236,IPC,363,1,1
236,IPC,365,2,2
237,IPC,324,1,1
237,IPC,326,2,2
238,IPC,379,1,1
239,IPC,324,1,1
239,IPC,326,2,2
240,IPC,302,1,1
241,ITACT,66C,1,1
241,ITACT,66D,2,2
242,IPC,379,1,1
243,IPC,395,1,1
244,ITACT,66C,1,1
244,ITACT,66D,2,2
245,IPC,392,1,1
246,ITACT,66C,1,1
246,ITACT,66D,2,2
247,IPC,380,1,1
248,IPC,324,1,1
248,IPC,326,2,2
249,ITACT,66C,1,1
249,ITACT,66D,2,2
250,IPC,379,1,1
250,IPC,356,2,2
251,IPC,392,1,1
252,IPC,454,1,1
252,IPC,457,2,2
253,IPC,454,1,1
253,IPC,457,2,2
254,IPC,392,1,1
255,IPC,380,1,1
256,IPC,454,1,1
256,IPC,457,2,2
257,IPC,420,1,1
258,IPC,302,1,1
259,IPC,380,1,1
260,IPC,454,1,1
260,IPC,457,2,2
261,IPC,324,1,1
261,IPC,326,2,2
262,ITACT,66C,1,1
262,ITACT,66D,2,2
263,IPC,420,1,1
264,IPC,379,1,1
264,IPC,356,2,2
265,ITACT,66C,1,1
265,ITACT,66D,2,2
266,IPC,380,1,1
267,IPC,420,1,1
268,IPC,454,1,1
268,IPC,457,2,2
269,IPC,302,1,1
270,IPC,324,1,1
270,IPC,326,2,2
271,IPC,379,1,1
272,IPC,324,1,1
272,IPC,326,2,2
273,ITACT,66C,1,1
273,ITACT,66D,2,2
274,IPC,392,1,1
275,IPC,379,1,1
276,IPC,307,1,1
277,ITACT,66C,1,1
277,ITACT,66D,2,2
278,IPC,379,1,1
278,IPC,356,2,2
279,IPC,454,1,1
279,IPC,457,2,2
280,IPC,307,1,1
281,IPC,392,1,1
282,IPC,380,1,1
283,IPC,147,1,1
283,IPC,148,2,2
284,IPC,395,1,1
285,IPC,392,1,1
286,IPC,379,1,1
286,IPC,356,2,2
287,IPC,379,1,1
288,IPC,420,1,1
289,IPC,420,1,1
290,IPC,379,1,1
291,IPC,454,1,1
291,IPC,457,2,2
292,IPC,454,1,1
292,IPC,457,2,2
293,IPC,392,1,1
294,IPC,379,1,1
294,IPC,356,2,2
295,IPC,147,1,1
295,IPC,148,2,2
296,IPC,379,1,1
297,IPC,324,1,1
297,IPC,326,2,2
298,NDPS,20,1,1
298,NDPS,22,2,2
299,IPC,363,1,1
299,IPC,365,2,2
300,IPC,324,1,1
300,IPC,326,2,2
301,IPC,420,1,1
302,IPC,379,1,1
303,IPC,380,1,1
304,ITACT,66C,1,1
304,ITACT,66D,2,2
305,IPC,454,1,1
305,IPC,457,2,2
306,IPC,420,1,1
307,IPC,379,1,1
308,IPC,420,1,1
309,IPC,324,1,1
309,IPC,326,2,2
310,IPC,147,1,1
310,IPC,148,2,2
311,IPC,392,1,1
312,IPC,379,1,1
313,IPC,363,1,1
313,IPC,365,2,2
314,IPC,392,1,1
315,IPC,489A,1,1
316,IPC,147,1,1
316,IPC,148,2,2
317,IPC,395,1,1
318,IPC,454,1,1
318,IPC,457,2,2
319,IPC,380,1,1
320,IPC,379,1,1
320,IPC,356,2,2
321,IPC,454,1,1
321,IPC,457,2,2
322,IPC,307,1,1
323,IPC,147,1,1
323,IPC,148,2,2
324,IPC,392,1,1
325,IPC,454,1,1
325,IPC,457,2,2
326,IPC,392,1,1
327,IPC,324,1,1
327,IPC,326,2,2
328,IPC,302,1,1
329,IPC,324,1,1
329,IPC,326,2,2
330,IPC,489A,1,1
331,IPC,379,1,1
332,IPC,392,1,1
333,NDPS,20,1,1
333,NDPS,22,2,2
334,IPC,489A,1,1
335,IPC,454,1,1
335,IPC,457,2,2
336,IPC,363,1,1
336,IPC,365,2,2
337,IPC,379,1,1
338,IPC,454,1,1
338,IPC,457,2,2
339,IPC,380,1,1
340,IPC,420,1,1
341,IPC,307,1,1
342,IPC,380,1,1
343,IPC,307,1,1
344,IPC,454,1,1
344,IPC,457,2,2
345,IPC,379,1,1
346,IPC,324,1,1
346,IPC,326,2,2
347,IPC,380,1,1
348,IPC,454,1,1
348,IPC,457,2,2
349,IPC,380,1,1
350,NDPS,20,1,1
350,NDPS,22,2,2
351,IPC,379,1,1
351,IPC,356,2,2
352,IPC,147,1,1
352,IPC,148,2,2
353,IPC,307,1,1
354,IPC,489A,1,1
355,IPC,379,1,1
356,IPC,380,1,1
357,IPC,384,1,1
358,IPC,454,1,1
358,IPC,457,2,2
359,IPC,384,1,1
360,ITACT,66C,1,1
360,ITACT,66D,2,2
361,IPC,307,1,1
362,IPC,392,1,1
363,IPC,379,1,1
364,IPC,302,1,1
365,IPC,379,1,1
366,IPC,324,1,1
366,IPC,326,2,2
367,IPC,454,1,1
367,IPC,457,2,2
368,ITACT,66C,1,1
368,ITACT,66D,2,2
369,IPC,392,1,1
370,IPC,454,1,1
370,IPC,457,2,2
371,ITACT,66C,1,1
371,ITACT,66D,2,2
372,IPC,379,1,1
372,IPC,356,2,2
373,IPC,380,1,1
374,IPC,454,1,1
374,IPC,457,2,2
375,IPC,489A,1,1
376,ITACT,66C,1,1
376,ITACT,66D,2,2
377,IPC,392,1,1
378,IPC,395,1,1
379,IPC,379,1,1
380,IPC,384,1,1
381,IPC,454,1,1
381,IPC,457,2,2
382,IPC,420,1,1
383,IPC,379,1,1
383,IPC,356,2,2
384,IPC,379,1,1
385,IPC,454,1,1
385,IPC,457,2,2
386,NDPS,20,1,1
386,NDPS,22,2,2
387,IPC,379,1,1
388,IPC,363,1,1
388,IPC,365,2,2
389,IPC,392,1,1
390,IPC,384,1,1
391,IPC,454,1,1
391,IPC,457,2,2
392,IPC,379,1,1
392,IPC,356,2,2
393,IPC,379,1,1
393,IPC,356,2,2
394,NDPS,20,1,1
394,NDPS,22,2,2
395,ITACT,66C,1,1
395,ITACT,66D,2,2
396,IPC,454,1,1
396,IPC,457,2,2
397,IPC,392,1,1
398,IPC,454,1,1
398,IPC,457,2,2
399,IPC,454,1,1
399,IPC,457,2,2
400,IPC,379,1,1
401,IPC,380,1,1
402,NDPS,20,1,1
402,NDPS,22,2,2
403,IPC,324,1,1
403,IPC,326,2,2
404,IPC,380,1,1
405,NDPS,20,1,1
405,NDPS,22,2,2
406,NDPS,20,1,1
406,NDPS,22,2,2
407,IPC,420,1,1
408,IPC,489A,1,1
409,NDPS,20,1,1
409,NDPS,22,2,2
410,NDPS,20,1,1
410,NDPS,22,2,2
411,IPC,392,1,1
412,IPC,454,1,1
412,IPC,457,2,2
413,IPC,454,1,1
413,IPC,457,2,2
414,IPC,395,1,1
415,IPC,307,1,1
416,IPC,324,1,1
416,IPC,326,2,2
417,NDPS,20,1,1
417,NDPS,22,2,2
418,IPC,454,1,1
418,IPC,457,2,2
419,IPC,379,1,1
420,IPC,454,1,1
420,IPC,457,2,2
421,IPC,147,1,1
421,IPC,148,2,2
422,ITACT,66C,1,1
422,ITACT,66D,2,2
423,IPC,392,1,1
424,ITACT,66C,1,1
424,ITACT,66D,2,2
425,IPC,380,1,1
426,IPC,147,1,1
426,IPC,148,2,2
427,IPC,380,1,1
428,IPC,379,1,1
429,IPC,454,1,1
429,IPC,457,2,2
430,IPC,147,1,1
430,IPC,148,2,2
431,IPC,395,1,1
432,IPC,454,1,1
432,IPC,457,2,2
433,ITACT,66C,1,1
433,ITACT,66D,2,2
434,IPC,420,1,1
435,IPC,489A,1,1
436,IPC,454,1,1
436,IPC,457,2,2
437,NDPS,20,1,1
437,NDPS,22,2,2
438,ITACT,66C,1,1
438,ITACT,66D,2,2
439,IPC,454,1,1
439,IPC,457,2,2
440,IPC,392,1,1
441,IPC,379,1,1
442,IPC,380,1,1
443,NDPS,20,1,1
443,NDPS,22,2,2
444,IPC,392,1,1
445,IPC,363,1,1
445,IPC,365,2,2
446,ITACT,66C,1,1
446,ITACT,66D,2,2
447,IPC,324,1,1
447,IPC,326,2,2
448,IPC,384,1,1
449,IPC,379,1,1
450,IPC,420,1,1
451,IPC,380,1,1
452,IPC,380,1,1
453,IPC,379,1,1
453,IPC,356,2,2
454,IPC,379,1,1
454,IPC,356,2,2
455,IPC,379,1,1
456,IPC,307,1,1
457,IPC,380,1,1
458,IPC,379,1,1
458,IPC,356,2,2
459,IPC,420,1,1
460,IPC,454,1,1
460,IPC,457,2,2
461,IPC,489A,1,1
462,IPC,147,1,1
462,IPC,148,2,2
463,IPC,324,1,1
463,IPC,326,2,2
464,IPC,379,1,1
465,IPC,392,1,1
466,IPC,420,1,1
467,IPC,324,1,1
467,IPC,326,2,2
468,IPC,420,1,1
469,IPC,454,1,1
469,IPC,457,2,2
470,IPC,324,1,1
470,IPC,326,2,2
471,NDPS,20,1,1
471,NDPS,22,2,2
472,IPC,379,1,1
472,IPC,356,2,2
473,IPC,384,1,1
474,ITACT,66C,1,1
474,ITACT,66D,2,2
475,IPC,324,1,1
475,IPC,326,2,2
476,IPC,454,1,1
476,IPC,457,2,2
477,IPC,379,1,1
478,IPC,380,1,1
479,IPC,363,1,1
479,IPC,365,2,2
480,IPC,384,1,1
481,IPC,379,1,1
482,IPC,380,1,1
483,IPC,420,1,1
484,IPC,302,1,1
485,IPC,454,1,1
485,IPC,457,2,2
486,ITACT,66C,1,1
486,ITACT,66D,2,2
487,IPC,395,1,1
488,IPC,324,1,1
488,IPC,326,2,2
489,IPC,379,1,1
489,IPC,356,2,2
490,IPC,379,1,1
490,IPC,356,2,2
491,IPC,380,1,1
492,IPC,379,1,1
493,IPC,380,1,1
494,ITACT,66C,1,1
494,ITACT,66D,2,2
495,IPC,363,1,1
495,IPC,365,2,2
496,IPC,379,1,1
497,IPC,395,1,1
498,IPC,379,1,1
498,IPC,356,2,2
499,IPC,307,1,1
500,IPC,324,1,1
500,IPC,326,2,2
