CSID,CaseMasterID,csdate,cstype,PolicePersonID
90,222,2025-08-10,A,2
91,223,2025-10-20,A,36
92,224,2025-07-29,A,30
93,236,2026-06-27,A,33
94,242,2026-04-22,A,47
95,244,2026-07-15,A,60
96,246,2026-07-15,A,2
97,248,2026-07-15,A,20
98,251,2025-11-05,A,18
99,254,2026-04-20,A,65
100,255,2025-10-13,A,29
101,257,2026-07-15,A,44
102,263,2026-05-31,C,61
103,264,2026-05-27,A,21
104,265,2026-07-15,A,24
105,268,2026-07-15,A,64
106,272,2026-02-28,A,70
107,274,2026-04-24,A,43
108,275,2025-10-24,A,64
109,276,2026-02-28,A,66
110,277,2025-08-18,C,13
111,278,2026-03-10,A,50
112,280,2026-01-02,A,68
113,282,2026-07-03,A,47
114,286,2025-07-24,A,66
115,292,2026-05-31,A,1
116,297,2025-08-11,A,35
117,300,2026-01-03,A,40
118,305,2026-07-15,A,30
119,311,2025-07-12,B,20
120,312,2025-05-30,A,24
121,313,2025-08-13,A,2
122,315,2026-04-13,A,2
123,318,2026-04-01,B,68
124,319,2025-10-13,A,1
125,322,2026-04-01,A,15
126,323,2025-11-16,A,68
127,327,2026-07-15,A,36
128,328,2026-06-23,A,7
129,331,2026-04-18,A,40
130,332,2026-07-15,A,8
131,334,2026-06-13,A,59
132,337,2026-06-10,A,45
133,338,2026-02-04,A,68
134,341,2026-06-08,A,44
135,342,2025-11-19,A,15
136,344,2026-06-08,A,33
137,347,2025-05-09,B,64
138,351,2026-04-27,A,24
139,352,2026-06-29,A,54
140,353,2025-06-26,C,45
141,354,2026-02-18,A,1
142,358,2025-10-23,A,8
143,364,2026-07-15,A,68
144,367,2025-08-29,A,15
145,368,2026-01-23,A,38
146,370,2026-06-07,A,63
147,371,2025-03-20,A,17
148,373,2026-05-11,A,62
149,376,2025-12-03,A,57
150,383,2026-07-15,A,45
151,388,2026-07-15,A,3
152,390,2026-07-04,C,10
153,392,2026-03-05,A,31
154,394,2025-11-03,B,35
155,396,2026-07-15,A,10
156,401,2026-07-15,A,4
157,402,2025-12-16,A,4
158,403,2026-07-15,A,63
159,410,2025-06-27,A,7
160,415,2026-07-15,A,58
161,417,2026-04-05,A,36
162,418,2025-09-22,A,37
163,420,2026-02-24,C,46
164,421,2025-05-17,A,49
165,423,2026-06-22,A,68
166,426,2025-10-29,A,25
167,429,2025-10-12,A,70
168,430,2026-05-13,A,20
169,437,2025-10-06,A,64
170,439,2025-05-19,A,60
171,441,2026-07-15,A,8
172,442,2026-07-15,A,66
173,445,2026-04-21,A,8
174,450,2026-04-20,A,1
175,451,2025-07-03,A,54
176,453,2026-07-15,A,3
177,456,2025-08-21,A,19
178,459,2025-11-09,A,8
179,464,2026-07-15,A,45
180,470,2026-03-24,A,39
181,474,2026-07-15,A,28
182,477,2026-05-12,A,41
183,479,2026-07-15,A,25
184,483,2026-05-26,A,42
185,485,2026-05-07,A,70
186,492,2026-03-07,A,71
187,493,2026-04-24,A,60
188,495,2025-06-13,A,70
189,497,2025-11-19,A,46
190,498,2026-01-02,A,26
191,500,2026-06-07,A,42
