fir_id,criminal_id,role
93,15,accused
94,45,prime_accused
94,16,accused
95,15,prime_accused
95,23,accused
97,62,prime_accused
97,40,accused
98,42,prime_accused
98,23,accused
100,47,prime_accused
100,53,accused
100,1,accused
101,20,prime_accused
101,63,accused
101,66,accused
102,43,prime_accused
102,65,accused
103,18,prime_accused
104,63,prime_accused
104,9,accused
104,40,accused
105,9,prime_accused
106,37,prime_accused
107,69,prime_accused
108,60,prime_accused
108,27,accused
109,65,prime_accused
110,60,prime_accused
110,62,accused
111,23,prime_accused
111,64,accused
111,53,accused
112,46,prime_accused
114,25,prime_accused
115,45,prime_accused
115,20,accused
115,34,accused
116,39,prime_accused
116,69,accused
118,23,prime_accused
119,32,prime_accused
119,18,accused
120,5,prime_accused
120,30,accused
121,39,prime_accused
122,33,prime_accused
123,35,prime_accused
123,17,accused
124,51,prime_accused
124,35,accused
124,17,accused
126,56,prime_accused
126,69,accused
127,56,prime_accused
130,1,prime_accused
130,6,accused
130,5,accused
132,35,prime_accused
133,10,prime_accused
133,26,accused
133,35,accused
134,43,prime_accused
138,61,prime_accused
139,17,prime_accused
139,6,accused
140,56,prime_accused
140,18,accused
141,14,prime_accused
141,51,accused
142,64,prime_accused
142,28,accused
144,1,prime_accused
147,11,prime_accused
147,35,accused
147,66,accused
148,20,prime_accused
148,48,accused
148,1,accused
149,44,prime_accused
150,21,prime_accused
151,67,prime_accused
151,33,accused
154,51,prime_accused
154,50,accused
154,17,accused
155,26,prime_accused
155,11,accused
155,65,accused
156,38,prime_accused
158,31,prime_accused
158,35,accused
158,38,accused
159,24,prime_accused
159,35,accused
160,46,prime_accused
161,24,prime_accused
161,44,accused
162,35,prime_accused
162,41,accused
162,60,accused
163,24,prime_accused
163,3,accused
165,61,prime_accused
166,48,prime_accused
166,12,accused
167,15,prime_accused
168,65,prime_accused
168,21,accused
168,38,accused
169,49,prime_accused
169,64,accused
170,34,prime_accused
170,66,accused
171,55,prime_accused
171,18,accused
172,29,prime_accused
172,66,accused
173,37,prime_accused
173,66,accused
174,26,prime_accused
175,22,prime_accused
175,40,accused
176,55,prime_accused
176,13,accused
177,9,prime_accused
177,47,accused
179,15,prime_accused
180,63,prime_accused
181,49,prime_accused
182,35,prime_accused
186,41,prime_accused
187,65,prime_accused
187,26,accused
188,41,prime_accused
188,26,accused
188,53,accused
190,14,prime_accused
191,7,prime_accused
193,56,prime_accused
193,28,accused
193,16,accused
194,10,prime_accused
194,69,accused
194,64,accused
195,65,prime_accused
195,35,accused
196,6,prime_accused
196,37,accused
196,58,accused
197,11,prime_accused
198,33,prime_accused
198,68,accused
199,53,prime_accused
199,47,accused
201,55,prime_accused
202,53,prime_accused
203,17,prime_accused
203,44,accused
203,34,accused
204,64,prime_accused
204,1,accused
204,6,accused
205,28,prime_accused
205,2,accused
205,69,accused
206,41,prime_accused
206,38,accused
206,7,accused
207,41,prime_accused
208,12,prime_accused
209,52,prime_accused
209,66,accused
209,51,accused
210,47,prime_accused
211,36,prime_accused
211,41,accused
212,63,prime_accused
216,34,prime_accused
216,5,accused
216,18,accused
217,30,prime_accused
218,58,prime_accused
219,22,prime_accused
219,30,accused
220,47,prime_accused
220,58,accused
220,5,accused
221,9,prime_accused
222,42,prime_accused
222,34,accused
223,43,prime_accused
223,35,accused
223,11,accused
224,53,prime_accused
224,43,accused
225,51,prime_accused
225,33,accused
226,15,prime_accused
226,60,accused
226,3,accused
228,31,prime_accused
228,50,accused
231,6,prime_accused
231,4,accused
232,50,prime_accused
234,70,prime_accused
234,69,accused
236,11,prime_accused
238,23,prime_accused
238,27,accused
239,26,prime_accused
239,37,accused
239,12,accused
240,14,prime_accused
241,27,prime_accused
241,6,accused
242,24,prime_accused
242,69,accused
243,30,prime_accused
243,42,accused
243,15,accused
244,20,prime_accused
244,44,accused
244,62,accused
245,30,prime_accused
245,63,accused
245,23,accused
246,45,prime_accused
247,66,prime_accused
250,22,prime_accused
250,3,accused
250,30,accused
251,39,prime_accused
251,16,accused
251,43,accused
252,55,prime_accused
253,70,prime_accused
254,32,prime_accused
254,61,accused
254,56,accused
255,54,prime_accused
255,67,accused
256,44,prime_accused
256,58,accused
257,37,prime_accused
261,61,prime_accused
262,6,prime_accused
262,70,accused
263,11,prime_accused
263,34,accused
263,56,accused
266,53,prime_accused
267,25,prime_accused
267,54,accused
267,65,accused
268,40,prime_accused
268,5,accused
269,9,prime_accused
270,38,prime_accused
270,35,accused
271,19,prime_accused
272,55,prime_accused
273,41,prime_accused
273,26,accused
273,14,accused
274,18,prime_accused
274,42,accused
275,5,prime_accused
275,32,accused
276,64,prime_accused
276,25,accused
276,11,accused
277,38,prime_accused
277,14,accused
277,28,accused
278,17,prime_accused
278,64,accused
279,2,prime_accused
281,58,prime_accused
281,62,accused
281,49,accused
283,18,prime_accused
283,22,accused
284,66,prime_accused
285,14,prime_accused
287,24,prime_accused
287,23,accused
288,19,prime_accused
288,11,accused
289,62,prime_accused
289,48,accused
289,28,accused
291,58,prime_accused
291,6,accused
292,15,prime_accused
292,23,accused
292,66,accused
293,45,prime_accused
293,15,accused
294,13,prime_accused
294,53,accused
294,2,accused
295,36,prime_accused
295,20,accused
295,28,accused
298,58,prime_accused
299,35,prime_accused
299,11,accused
300,9,prime_accused
300,44,accused
301,5,prime_accused
303,29,prime_accused
306,10,prime_accused
306,64,accused
309,36,prime_accused
309,58,accused
309,47,accused
311,69,prime_accused
311,62,accused
313,45,prime_accused
313,1,accused
316,4,prime_accused
316,6,accused
316,11,accused
317,3,prime_accused
317,64,accused
318,43,prime_accused
318,27,accused
319,14,prime_accused
321,48,prime_accused
322,63,prime_accused
323,44,prime_accused
324,37,prime_accused
324,50,accused
325,44,prime_accused
325,34,accused
327,65,prime_accused
327,66,accused
327,11,accused
328,2,prime_accused
328,37,accused
330,15,prime_accused
331,35,prime_accused
332,42,prime_accused
332,53,accused
334,10,prime_accused
334,70,accused
336,49,prime_accused
338,7,prime_accused
338,11,accused
339,61,prime_accused
339,39,accused
340,49,prime_accused
340,38,accused
340,16,accused
341,69,prime_accused
343,26,prime_accused
343,35,accused
343,66,accused
344,43,prime_accused
345,70,prime_accused
345,24,accused
345,53,accused
346,65,prime_accused
347,66,prime_accused
347,29,accused
348,53,prime_accused
348,29,accused
348,70,accused
351,28,prime_accused
351,40,accused
351,60,accused
354,45,prime_accused
354,20,accused
356,55,prime_accused
356,11,accused
357,1,prime_accused
357,31,accused
358,21,prime_accused
358,45,accused
358,26,accused
359,27,prime_accused
359,56,accused
359,18,accused
362,26,prime_accused
362,33,accused
363,42,prime_accused
363,28,accused
364,7,prime_accused
365,70,prime_accused
365,33,accused
365,19,accused
366,30,prime_accused
366,23,accused
368,60,prime_accused
368,61,accused
369,45,prime_accused
370,57,prime_accused
370,56,accused
371,30,prime_accused
371,14,accused
372,29,prime_accused
372,2,accused
373,25,prime_accused
374,33,prime_accused
375,16,prime_accused
377,27,prime_accused
378,27,prime_accused
378,55,accused
378,24,accused
379,18,prime_accused
380,52,prime_accused
380,23,accused
381,39,prime_accused
381,28,accused
382,20,prime_accused
383,26,prime_accused
383,18,accused
385,61,prime_accused
385,30,accused
386,43,prime_accused
386,56,accused
387,29,prime_accused
388,1,prime_accused
389,18,prime_accused
389,41,accused
389,33,accused
391,23,prime_accused
391,33,accused
392,11,prime_accused
393,1,prime_accused
393,35,accused
394,11,prime_accused
394,35,accused
394,26,accused
396,3,prime_accused
396,14,accused
396,40,accused
400,24,prime_accused
402,45,prime_accused
402,34,accused
403,27,prime_accused
403,32,accused
403,66,accused
404,62,prime_accused
405,50,prime_accused
405,9,accused
405,1,accused
406,36,prime_accused
406,10,accused
406,65,accused
407,43,prime_accused
407,21,accused
408,29,prime_accused
409,66,prime_accused
410,38,prime_accused
410,46,accused
411,58,prime_accused
414,53,prime_accused
414,47,accused
417,35,prime_accused
418,30,prime_accused
418,22,accused
419,15,prime_accused
421,38,prime_accused
421,50,accused
422,43,prime_accused
422,29,accused
422,23,accused
424,22,prime_accused
425,55,prime_accused
426,3,prime_accused
426,53,accused
429,55,prime_accused
429,27,accused
430,23,prime_accused
430,53,accused
431,37,prime_accused
431,58,accused
431,55,accused
433,18,prime_accused
433,21,accused
434,49,prime_accused
435,43,prime_accused
436,44,prime_accused
437,25,prime_accused
437,57,accused
437,34,accused
438,53,prime_accused
438,37,accused
439,62,prime_accused
440,48,prime_accused
441,38,prime_accused
442,56,prime_accused
442,55,accused
443,28,prime_accused
443,49,accused
446,17,prime_accused
447,26,prime_accused
447,11,accused
447,66,accused
449,17,prime_accused
449,10,accused
449,60,accused
450,23,prime_accused
451,51,prime_accused
451,35,accused
452,26,prime_accused
453,1,prime_accused
453,59,accused
454,13,prime_accused
454,20,accused
455,3,prime_accused
457,10,prime_accused
459,40,prime_accused
460,24,prime_accused
460,64,accused
460,62,accused
461,15,prime_accused
461,42,accused
461,12,accused
462,48,prime_accused
462,59,accused
463,64,prime_accused
463,28,accused
463,53,accused
464,33,prime_accused
464,70,accused
464,50,accused
465,15,prime_accused
465,68,accused
465,55,accused
466,29,prime_accused
466,16,accused
467,27,prime_accused
467,48,accused
468,56,prime_accused
470,9,prime_accused
471,64,prime_accused
471,48,accused
471,24,accused
473,52,prime_accused
473,66,accused
474,43,prime_accused
476,69,prime_accused
479,6,prime_accused
479,39,accused
480,66,prime_accused
481,52,prime_accused
481,34,accused
481,63,accused
482,39,prime_accused
483,61,prime_accused
483,30,accused
485,18,prime_accused
485,58,accused
485,6,accused
486,66,prime_accused
487,21,prime_accused
487,65,accused
487,63,accused
490,11,prime_accused
490,44,accused
490,68,accused
491,49,prime_accused
494,65,prime_accused
495,51,prime_accused
496,56,prime_accused
496,64,accused
496,29,accused
497,24,prime_accused
497,50,accused
499,21,prime_accused
500,34,prime_accused
500,22,accused
