CaseMasterID,PlaceOfOccurance,OccuranceFrom,OccuranceTo
84,"Old Town, Mandya",2025-10-21T00:00:00.000Z,2025-10-22T00:00:00.000Z
85,"Market Rd, Udupi",2025-12-31T00:00:00.000Z,2026-01-01T00:00:00.000Z
86,"Market Rd, Bengaluru Urban",2026-01-25T00:00:00.000Z,2026-01-26T00:00:00.000Z
87,"Market Rd, Vijayapura",2025-10-10T00:00:00.000Z,2025-10-11T00:00:00.000Z
88,"NH-Bypass, Belagavi",2025-07-20T00:00:00.000Z,2025-07-21T00:00:00.000Z
89,"Layout, Dakshina Kannada",2026-05-01T00:00:00.000Z,2026-05-02T00:00:00.000Z
90,"Market Rd, Ballari",2026-04-12T00:00:00.000Z,2026-04-13T00:00:00.000Z
91,"Layout, Hubballi-Dharwad",2025-12-23T00:00:00.000Z,2025-12-24T00:00:00.000Z
92,"Layout, Tumakuru",2025-04-12T00:00:00.000Z,2025-04-13T00:00:00.000Z
93,"NH-Bypass, Dakshina Kannada",2025-03-09T00:00:00.000Z,2025-03-10T00:00:00.000Z
94,"NH-Bypass, Mysuru",2026-07-05T00:00:00.000Z,2026-07-06T00:00:00.000Z
95,"Layout, Bengaluru Urban",2025-03-07T00:00:00.000Z,2025-03-08T00:00:00.000Z
96,"NH-Bypass, Hubballi-Dharwad",2026-07-11T00:00:00.000Z,2026-07-12T00:00:00.000Z
97,"Layout, Hubballi-Dharwad",2026-01-20T00:00:00.000Z,2026-01-21T00:00:00.000Z
98,"NH-Bypass, Bengaluru Urban",2025-11-08T00:00:00.000Z,2025-11-09T00:00:00.000Z
99,"Old Town, Dakshina Kannada",2025-11-16T00:00:00.000Z,2025-11-17T00:00:00.000Z
100,"Old Town, Tumakuru",2026-01-28T00:00:00.000Z,2026-01-29T00:00:00.000Z
101,"Old Town, Bengaluru Urban",2025-12-22T00:00:00.000Z,2025-12-23T00:00:00.000Z
102,"NH-Bypass, Kalaburagi",2026-06-08T00:00:00.000Z,2026-06-09T00:00:00.000Z
103,"NH-Bypass, Vijayapura",2026-04-09T00:00:00.000Z,2026-04-10T00:00:00.000Z
104,"Market Rd, Dakshina Kannada",2026-02-13T00:00:00.000Z,2026-02-14T00:00:00.000Z
105,"Bus Stand, Dakshina Kannada",2025-04-18T00:00:00.000Z,2025-04-19T00:00:00.000Z
106,"Old Town, Mysuru",2026-03-04T00:00:00.000Z,2026-03-05T00:00:00.000Z
107,"Bus Stand, Vijayapura",2026-01-18T00:00:00.000Z,2026-01-19T00:00:00.000Z
108,"Bus Stand, Hubballi-Dharwad",2025-12-31T00:00:00.000Z,2026-01-01T00:00:00.000Z
109,"Bus Stand, Belagavi",2025-06-28T00:00:00.000Z,2025-06-29T00:00:00.000Z
110,"NH-Bypass, Hubballi-Dharwad",2025-05-26T00:00:00.000Z,2025-05-27T00:00:00.000Z
111,"Layout, Hubballi-Dharwad",2026-06-08T00:00:00.000Z,2026-06-09T00:00:00.000Z
112,"Market Rd, Tumakuru",2026-06-23T00:00:00.000Z,2026-06-24T00:00:00.000Z
113,"Old Town, Kalaburagi",2025-06-27T00:00:00.000Z,2025-06-28T00:00:00.000Z
114,"Bus Stand, Udupi",2025-08-27T00:00:00.000Z,2025-08-28T00:00:00.000Z
115,"Old Town, Bengaluru Urban",2026-06-18T00:00:00.000Z,2026-06-19T00:00:00.000Z
116,"Layout, Belagavi",2026-03-28T00:00:00.000Z,2026-03-29T00:00:00.000Z
117,"Bus Stand, Dakshina Kannada",2026-04-03T00:00:00.000Z,2026-04-04T00:00:00.000Z
118,"Layout, Mandya",2026-04-04T00:00:00.000Z,2026-04-05T00:00:00.000Z
119,"Layout, Udupi",2025-11-07T00:00:00.000Z,2025-11-08T00:00:00.000Z
120,"Market Rd, Ballari",2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z
121,"Old Town, Dakshina Kannada",2026-02-09T00:00:00.000Z,2026-02-10T00:00:00.000Z
122,"Old Town, Mandya",2025-12-07T00:00:00.000Z,2025-12-08T00:00:00.000Z
123,"Market Rd, Shivamogga",2026-04-09T00:00:00.000Z,2026-04-10T00:00:00.000Z
124,"Bus Stand, Shivamogga",2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z
125,"Old Town, Mandya",2025-04-16T00:00:00.000Z,2025-04-17T00:00:00.000Z
126,"Old Town, Vijayapura",2026-05-27T00:00:00.000Z,2026-05-28T00:00:00.000Z
127,"Layout, Vijayapura",2025-07-02T00:00:00.000Z,2025-07-03T00:00:00.000Z
128,"NH-Bypass, Kalaburagi",2025-09-11T00:00:00.000Z,2025-09-12T00:00:00.000Z
129,"NH-Bypass, Dakshina Kannada",2025-01-26T00:00:00.000Z,2025-01-27T00:00:00.000Z
130,"Market Rd, Udupi",2025-12-07T00:00:00.000Z,2025-12-08T00:00:00.000Z
131,"Layout, Ballari",2026-01-08T00:00:00.000Z,2026-01-09T00:00:00.000Z
132,"Old Town, Kalaburagi",2026-06-23T00:00:00.000Z,2026-06-24T00:00:00.000Z
133,"Old Town, Kalaburagi",2025-07-09T00:00:00.000Z,2025-07-10T00:00:00.000Z
134,"Old Town, Dakshina Kannada",2026-02-13T00:00:00.000Z,2026-02-14T00:00:00.000Z
135,"Layout, Vijayapura",2026-03-22T00:00:00.000Z,2026-03-23T00:00:00.000Z
136,"Old Town, Hubballi-Dharwad",2025-08-21T00:00:00.000Z,2025-08-22T00:00:00.000Z
137,"Old Town, Ballari",2025-10-11T00:00:00.000Z,2025-10-12T00:00:00.000Z
138,"NH-Bypass, Dakshina Kannada",2026-05-26T00:00:00.000Z,2026-05-27T00:00:00.000Z
139,"Old Town, Shivamogga",2025-12-06T00:00:00.000Z,2025-12-07T00:00:00.000Z
140,"NH-Bypass, Vijayapura",2026-02-24T00:00:00.000Z,2026-02-25T00:00:00.000Z
141,"Bus Stand, Mysuru",2026-02-01T00:00:00.000Z,2026-02-02T00:00:00.000Z
142,"Layout, Hubballi-Dharwad",2026-05-08T00:00:00.000Z,2026-05-09T00:00:00.000Z
143,"Market Rd, Mandya",2026-04-20T00:00:00.000Z,2026-04-21T00:00:00.000Z
144,"Market Rd, Udupi",2026-03-16T00:00:00.000Z,2026-03-17T00:00:00.000Z
145,"Old Town, Belagavi",2026-01-22T00:00:00.000Z,2026-01-23T00:00:00.000Z
146,"Layout, Hubballi-Dharwad",2025-10-31T00:00:00.000Z,2025-11-01T00:00:00.000Z
147,"Market Rd, Kalaburagi",2026-05-17T00:00:00.000Z,2026-05-18T00:00:00.000Z
148,"Layout, Bengaluru Urban",2026-05-23T00:00:00.000Z,2026-05-24T00:00:00.000Z
149,"NH-Bypass, Tumakuru",2026-01-24T00:00:00.000Z,2026-01-25T00:00:00.000Z
150,"NH-Bypass, Belagavi",2025-04-10T00:00:00.000Z,2025-04-11T00:00:00.000Z
151,"Old Town, Mandya",2026-01-31T00:00:00.000Z,2026-02-01T00:00:00.000Z
152,"Old Town, Ballari",2025-09-30T00:00:00.000Z,2025-10-01T00:00:00.000Z
153,"Layout, Belagavi",2026-03-14T00:00:00.000Z,2026-03-15T00:00:00.000Z
154,"NH-Bypass, Shivamogga",2025-01-23T00:00:00.000Z,2025-01-24T00:00:00.000Z
155,"Market Rd, Kalaburagi",2026-01-26T00:00:00.000Z,2026-01-27T00:00:00.000Z
156,"Bus Stand, Shivamogga",2026-05-19T00:00:00.000Z,2026-05-20T00:00:00.000Z
157,"Layout, Kalaburagi",2026-06-25T00:00:00.000Z,2026-06-26T00:00:00.000Z
158,"Market Rd, Shivamogga",2026-01-21T00:00:00.000Z,2026-01-22T00:00:00.000Z
159,"Market Rd, Hubballi-Dharwad",2026-05-02T00:00:00.000Z,2026-05-03T00:00:00.000Z
160,"Market Rd, Mysuru",2025-11-03T00:00:00.000Z,2025-11-04T00:00:00.000Z
161,"NH-Bypass, Tumakuru",2025-04-28T00:00:00.000Z,2025-04-29T00:00:00.000Z
162,"Market Rd, Hubballi-Dharwad",2026-04-10T00:00:00.000Z,2026-04-11T00:00:00.000Z
163,"Layout, Vijayapura",2025-07-23T00:00:00.000Z,2025-07-24T00:00:00.000Z
164,"Old Town, Mysuru",2025-05-28T00:00:00.000Z,2025-05-29T00:00:00.000Z
165,"Layout, Ballari",2025-11-11T00:00:00.000Z,2025-11-12T00:00:00.000Z
166,"NH-Bypass, Bengaluru Urban",2026-05-06T00:00:00.000Z,2026-05-07T00:00:00.000Z
167,"Market Rd, Ballari",2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z
168,"NH-Bypass, Mysuru",2025-11-16T00:00:00.000Z,2025-11-17T00:00:00.000Z
169,"NH-Bypass, Mysuru",2025-08-19T00:00:00.000Z,2025-08-20T00:00:00.000Z
170,"Market Rd, Udupi",2026-01-26T00:00:00.000Z,2026-01-27T00:00:00.000Z
171,"Old Town, Mandya",2026-07-02T00:00:00.000Z,2026-07-03T00:00:00.000Z
172,"NH-Bypass, Udupi",2025-11-30T00:00:00.000Z,2025-12-01T00:00:00.000Z
173,"Old Town, Udupi",2026-06-25T00:00:00.000Z,2026-06-26T00:00:00.000Z
174,"Old Town, Vijayapura",2026-03-03T00:00:00.000Z,2026-03-04T00:00:00.000Z
175,"Bus Stand, Dakshina Kannada",2026-03-31T00:00:00.000Z,2026-04-01T00:00:00.000Z
176,"NH-Bypass, Bengaluru Urban",2026-05-28T00:00:00.000Z,2026-05-29T00:00:00.000Z
177,"Old Town, Dakshina Kannada",2026-03-14T00:00:00.000Z,2026-03-15T00:00:00.000Z
178,"Old Town, Kalaburagi",2026-06-26T00:00:00.000Z,2026-06-27T00:00:00.000Z
179,"Old Town, Dakshina Kannada",2025-07-04T00:00:00.000Z,2025-07-05T00:00:00.000Z
180,"Layout, Belagavi",2026-02-24T00:00:00.000Z,2026-02-25T00:00:00.000Z
181,"Layout, Tumakuru",2025-02-14T00:00:00.000Z,2025-02-15T00:00:00.000Z
182,"Layout, Kalaburagi",2026-04-10T00:00:00.000Z,2026-04-11T00:00:00.000Z
183,"Layout, Kalaburagi",2026-03-22T00:00:00.000Z,2026-03-23T00:00:00.000Z
184,"Layout, Tumakuru",2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z
185,"Market Rd, Hubballi-Dharwad",2025-11-20T00:00:00.000Z,2025-11-21T00:00:00.000Z
186,"NH-Bypass, Mysuru",2026-03-23T00:00:00.000Z,2026-03-24T00:00:00.000Z
187,"Layout, Kalaburagi",2025-06-03T00:00:00.000Z,2025-06-04T00:00:00.000Z
188,"Old Town, Hubballi-Dharwad",2025-05-01T00:00:00.000Z,2025-05-02T00:00:00.000Z
189,"Market Rd, Vijayapura",2026-04-17T00:00:00.000Z,2026-04-18T00:00:00.000Z
190,"Market Rd, Dakshina Kannada",2026-05-21T00:00:00.000Z,2026-05-22T00:00:00.000Z
191,"Market Rd, Mandya",2026-06-05T00:00:00.000Z,2026-06-06T00:00:00.000Z
192,"NH-Bypass, Mandya",2026-04-21T00:00:00.000Z,2026-04-22T00:00:00.000Z
193,"NH-Bypass, Dakshina Kannada",2026-04-20T00:00:00.000Z,2026-04-21T00:00:00.000Z
194,"NH-Bypass, Hubballi-Dharwad",2026-05-06T00:00:00.000Z,2026-05-07T00:00:00.000Z
195,"Market Rd, Kalaburagi",2025-07-21T00:00:00.000Z,2025-07-22T00:00:00.000Z
196,"Bus Stand, Udupi",2026-02-19T00:00:00.000Z,2026-02-20T00:00:00.000Z
197,"Market Rd, Vijayapura",2025-06-03T00:00:00.000Z,2025-06-04T00:00:00.000Z
198,"Market Rd, Vijayapura",2026-07-06T00:00:00.000Z,2026-07-07T00:00:00.000Z
199,"Bus Stand, Tumakuru",2025-04-02T00:00:00.000Z,2025-04-03T00:00:00.000Z
200,"Old Town, Shivamogga",2025-04-02T00:00:00.000Z,2025-04-03T00:00:00.000Z
201,"NH-Bypass, Udupi",2026-07-14T00:00:00.000Z,2026-07-15T00:00:00.000Z
202,"Market Rd, Tumakuru",2025-11-18T00:00:00.000Z,2025-11-19T00:00:00.000Z
203,"Market Rd, Ballari",2026-04-09T00:00:00.000Z,2026-04-10T00:00:00.000Z
204,"NH-Bypass, Shivamogga",2026-03-19T00:00:00.000Z,2026-03-20T00:00:00.000Z
205,"Layout, Belagavi",2026-04-30T00:00:00.000Z,2026-05-01T00:00:00.000Z
206,"Old Town, Mysuru",2025-09-21T00:00:00.000Z,2025-09-22T00:00:00.000Z
207,"Old Town, Hubballi-Dharwad",2026-06-04T00:00:00.000Z,2026-06-05T00:00:00.000Z
208,"NH-Bypass, Bengaluru Urban",2025-08-30T00:00:00.000Z,2025-08-31T00:00:00.000Z
209,"Layout, Bengaluru Urban",2026-06-08T00:00:00.000Z,2026-06-09T00:00:00.000Z
210,"Bus Stand, Dakshina Kannada",2026-05-02T00:00:00.000Z,2026-05-03T00:00:00.000Z
211,"Bus Stand, Vijayapura",2025-05-29T00:00:00.000Z,2025-05-30T00:00:00.000Z
212,"Bus Stand, Belagavi",2026-07-10T00:00:00.000Z,2026-07-11T00:00:00.000Z
213,"Old Town, Mysuru",2025-04-06T00:00:00.000Z,2025-04-07T00:00:00.000Z
214,"Layout, Ballari",2025-05-16T00:00:00.000Z,2025-05-17T00:00:00.000Z
215,"Layout, Bengaluru Urban",2025-07-24T00:00:00.000Z,2025-07-25T00:00:00.000Z
216,"NH-Bypass, Udupi",2025-02-06T00:00:00.000Z,2025-02-07T00:00:00.000Z
217,"Old Town, Ballari",2026-06-30T00:00:00.000Z,2026-07-01T00:00:00.000Z
218,"Layout, Mandya",2025-11-12T00:00:00.000Z,2025-11-13T00:00:00.000Z
219,"NH-Bypass, Ballari",2026-03-19T00:00:00.000Z,2026-03-20T00:00:00.000Z
220,"Bus Stand, Tumakuru",2026-01-23T00:00:00.000Z,2026-01-24T00:00:00.000Z
221,"NH-Bypass, Shivamogga",2026-06-27T00:00:00.000Z,2026-06-28T00:00:00.000Z
222,"NH-Bypass, Bengaluru Urban",2025-07-16T00:00:00.000Z,2025-07-17T00:00:00.000Z
223,"Bus Stand, Kalaburagi",2025-09-13T00:00:00.000Z,2025-09-14T00:00:00.000Z
224,"Bus Stand, Belagavi",2025-05-15T00:00:00.000Z,2025-05-16T00:00:00.000Z
225,"Bus Stand, Mandya",2026-06-25T00:00:00.000Z,2026-06-26T00:00:00.000Z
226,"Bus Stand, Ballari",2026-06-02T00:00:00.000Z,2026-06-03T00:00:00.000Z
227,"Market Rd, Hubballi-Dharwad",2025-05-01T00:00:00.000Z,2025-05-02T00:00:00.000Z
228,"Old Town, Shivamogga",2026-05-05T00:00:00.000Z,2026-05-06T00:00:00.000Z
229,"Bus Stand, Shivamogga",2026-04-20T00:00:00.000Z,2026-04-21T00:00:00.000Z
230,"Market Rd, Mandya",2025-08-06T00:00:00.000Z,2025-08-07T00:00:00.000Z
231,"Market Rd, Udupi",2026-02-01T00:00:00.000Z,2026-02-02T00:00:00.000Z
232,"Layout, Shivamogga",2026-02-26T00:00:00.000Z,2026-02-27T00:00:00.000Z
233,"Bus Stand, Tumakuru",2025-03-21T00:00:00.000Z,2025-03-22T00:00:00.000Z
234,"Market Rd, Vijayapura",2026-04-17T00:00:00.000Z,2026-04-18T00:00:00.000Z
235,"Layout, Ballari",2026-02-25T00:00:00.000Z,2026-02-26T00:00:00.000Z
236,"Layout, Kalaburagi",2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z
237,"NH-Bypass, Udupi",2025-06-28T00:00:00.000Z,2025-06-29T00:00:00.000Z
238,"Old Town, Mandya",2025-07-11T00:00:00.000Z,2025-07-12T00:00:00.000Z
239,"Bus Stand, Mysuru",2026-04-12T00:00:00.000Z,2026-04-13T00:00:00.000Z
240,"Old Town, Mysuru",2025-07-07T00:00:00.000Z,2025-07-08T00:00:00.000Z
241,"Market Rd, Mandya",2025-12-18T00:00:00.000Z,2025-12-19T00:00:00.000Z
242,"Old Town, Vijayapura",2026-03-05T00:00:00.000Z,2026-03-06T00:00:00.000Z
243,"Old Town, Bengaluru Urban",2026-01-28T00:00:00.000Z,2026-01-29T00:00:00.000Z
244,"Old Town, Tumakuru",2026-05-29T00:00:00.000Z,2026-05-30T00:00:00.000Z
245,"Layout, Bengaluru Urban",2025-04-27T00:00:00.000Z,2025-04-28T00:00:00.000Z
246,"Layout, Bengaluru Urban",2026-06-05T00:00:00.000Z,2026-06-06T00:00:00.000Z
247,"Old Town, Kalaburagi",2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z
248,"Bus Stand, Hubballi-Dharwad",2026-07-13T00:00:00.000Z,2026-07-14T00:00:00.000Z
249,"NH-Bypass, Vijayapura",2025-03-22T00:00:00.000Z,2025-03-23T00:00:00.000Z
250,"Market Rd, Ballari",2025-10-09T00:00:00.000Z,2025-10-10T00:00:00.000Z
251,"Layout, Dakshina Kannada",2025-08-10T00:00:00.000Z,2025-08-11T00:00:00.000Z
252,"Bus Stand, Mandya",2025-03-02T00:00:00.000Z,2025-03-03T00:00:00.000Z
253,"NH-Bypass, Tumakuru",2026-07-08T00:00:00.000Z,2026-07-09T00:00:00.000Z
254,"Bus Stand, Udupi",2026-03-24T00:00:00.000Z,2026-03-25T00:00:00.000Z
255,"Old Town, Belagavi",2025-08-05T00:00:00.000Z,2025-08-06T00:00:00.000Z
256,"Old Town, Mandya",2025-05-21T00:00:00.000Z,2025-05-22T00:00:00.000Z
257,"NH-Bypass, Vijayapura",2026-07-09T00:00:00.000Z,2026-07-10T00:00:00.000Z
258,"Market Rd, Shivamogga",2026-06-06T00:00:00.000Z,2026-06-07T00:00:00.000Z
259,"Market Rd, Udupi",2026-02-20T00:00:00.000Z,2026-02-21T00:00:00.000Z
260,"Market Rd, Mysuru",2025-10-26T00:00:00.000Z,2025-10-27T00:00:00.000Z
261,"Old Town, Dakshina Kannada",2026-04-09T00:00:00.000Z,2026-04-10T00:00:00.000Z
262,"Old Town, Belagavi",2025-08-14T00:00:00.000Z,2025-08-15T00:00:00.000Z
263,"Market Rd, Udupi",2026-04-10T00:00:00.000Z,2026-04-11T00:00:00.000Z
264,"Bus Stand, Hubballi-Dharwad",2026-05-01T00:00:00.000Z,2026-05-02T00:00:00.000Z
265,"Old Town, Hubballi-Dharwad",2026-06-11T00:00:00.000Z,2026-06-12T00:00:00.000Z
266,"Market Rd, Mysuru",2025-03-24T00:00:00.000Z,2025-03-25T00:00:00.000Z
267,"Market Rd, Belagavi",2026-05-05T00:00:00.000Z,2026-05-06T00:00:00.000Z
268,"Old Town, Udupi",2026-06-28T00:00:00.000Z,2026-06-29T00:00:00.000Z
269,"Market Rd, Shivamogga",2026-03-21T00:00:00.000Z,2026-03-22T00:00:00.000Z
270,"Bus Stand, Shivamogga",2026-04-19T00:00:00.000Z,2026-04-20T00:00:00.000Z
271,"NH-Bypass, Vijayapura",2026-05-13T00:00:00.000Z,2026-05-14T00:00:00.000Z
272,"Market Rd, Mandya",2025-12-16T00:00:00.000Z,2025-12-17T00:00:00.000Z
273,"NH-Bypass, Mysuru",2026-04-17T00:00:00.000Z,2026-04-18T00:00:00.000Z
274,"Market Rd, Vijayapura",2026-01-31T00:00:00.000Z,2026-02-01T00:00:00.000Z
275,"Market Rd, Udupi",2025-09-21T00:00:00.000Z,2025-09-22T00:00:00.000Z
276,"Layout, Udupi",2026-01-16T00:00:00.000Z,2026-01-17T00:00:00.000Z
