id,fir_id,csdate,cstype,final_report,police_person_id,court
120,312,2025-05-30 00:00:00,A,Chargesheet,24,Hubballi-Dharwad District & Sessions Court
121,313,2025-08-13 00:00:00,A,Chargesheet,2,Bengaluru Urban District & Sessions Court
122,315,2026-04-13 00:00:00,A,Chargesheet,2,Bengaluru Urban District & Sessions Court
123,318,2026-04-01 00:00:00,B,False Case,68,Mandya District & Sessions Court
124,319,2025-10-13 00:00:00,A,Chargesheet,1,Bengaluru Urban District & Sessions Court
125,322,2026-04-01 00:00:00,A,Chargesheet,15,Dakshina Kannada District & Sessions Court
126,323,2025-11-16 00:00:00,A,Chargesheet,68,Mandya District & Sessions Court
127,327,2026-07-15 00:00:00,A,Chargesheet,36,Kalaburagi District & Sessions Court
128,328,2026-06-23 00:00:00,A,Chargesheet,7,Mysuru District & Sessions Court
129,331,2026-04-18 00:00:00,A,Chargesheet,40,Ballari District & Sessions Court
130,332,2026-07-15 00:00:00,A,Chargesheet,8,Mysuru District & Sessions Court
131,334,2026-06-13 00:00:00,A,Chargesheet,59,Tumakuru District & Sessions Court
132,337,2026-06-10 00:00:00,A,Chargesheet,45,Vijayapura District & Sessions Court
133,338,2026-02-04 00:00:00,A,Chargesheet,68,Mandya District & Sessions Court
134,341,2026-06-08 00:00:00,A,Chargesheet,44,Vijayapura District & Sessions Court
135,342,2025-11-19 00:00:00,A,Chargesheet,15,Dakshina Kannada District & Sessions Court
136,344,2026-06-08 00:00:00,A,Chargesheet,33,Kalaburagi District & Sessions Court
137,347,2025-05-09 00:00:00,B,False Case,64,Udupi District & Sessions Court
138,351,2026-04-27 00:00:00,A,Chargesheet,24,Hubballi-Dharwad District & Sessions Court
139,352,2026-06-29 00:00:00,A,Chargesheet,54,Shivamogga District & Sessions Court
140,353,2025-06-26 00:00:00,C,Undetected,45,Vijayapura District & Sessions Court
141,354,2026-02-18 00:00:00,A,Chargesheet,1,Bengaluru Urban District & Sessions Court
142,358,2025-10-23 00:00:00,A,Chargesheet,8,Mysuru District & Sessions Court
143,364,2026-07-15 00:00:00,A,Chargesheet,68,Mandya District & Sessions Court
144,367,2025-08-29 00:00:00,A,Chargesheet,15,Dakshina Kannada District & Sessions Court
145,368,2026-01-23 00:00:00,A,Chargesheet,38,Ballari District & Sessions Court
146,370,2026-06-07 00:00:00,A,Chargesheet,63,Udupi District & Sessions Court
147,371,2025-03-20 00:00:00,A,Chargesheet,17,Dakshina Kannada District & Sessions Court
148,373,2026-05-11 00:00:00,A,Chargesheet,62,Udupi District & Sessions Court
149,376,2025-12-03 00:00:00,A,Chargesheet,57,Tumakuru District & Sessions Court
150,383,2026-07-15 00:00:00,A,Chargesheet,45,Vijayapura District & Sessions Court
151,388,2026-07-15 00:00:00,A,Chargesheet,3,Bengaluru Urban District & Sessions Court
152,390,2026-07-04 00:00:00,C,Undetected,10,Mysuru District & Sessions Court
153,392,2026-03-05 00:00:00,A,Chargesheet,31,Kalaburagi District & Sessions Court
154,394,2025-11-03 00:00:00,B,False Case,35,Kalaburagi District & Sessions Court
155,396,2026-07-15 00:00:00,A,Chargesheet,10,Mysuru District & Sessions Court
156,401,2026-07-15 00:00:00,A,Chargesheet,4,Bengaluru Urban District & Sessions Court
157,402,2025-12-16 00:00:00,A,Chargesheet,4,Bengaluru Urban District & Sessions Court
158,403,2026-07-15 00:00:00,A,Chargesheet,63,Udupi District & Sessions Court
159,410,2025-06-27 00:00:00,A,Chargesheet,7,Mysuru District & Sessions Court
160,415,2026-07-15 00:00:00,A,Chargesheet,58,Tumakuru District & Sessions Court
161,417,2026-04-05 00:00:00,A,Chargesheet,36,Kalaburagi District & Sessions Court
162,418,2025-09-22 00:00:00,A,Chargesheet,37,Ballari District & Sessions Court
163,420,2026-02-24 00:00:00,C,Undetected,46,Vijayapura District & Sessions Court
164,421,2025-05-17 00:00:00,A,Chargesheet,49,Shivamogga District & Sessions Court
165,423,2026-06-22 00:00:00,A,Chargesheet,68,Mandya District & Sessions Court
166,426,2025-10-29 00:00:00,A,Chargesheet,25,Belagavi District & Sessions Court
167,429,2025-10-12 00:00:00,A,Chargesheet,70,Mandya District & Sessions Court
168,430,2026-05-13 00:00:00,A,Chargesheet,20,Hubballi-Dharwad District & Sessions Court
169,437,2025-10-06 00:00:00,A,Chargesheet,64,Udupi District & Sessions Court
170,439,2025-05-19 00:00:00,A,Chargesheet,60,Tumakuru District & Sessions Court
171,441,2026-07-15 00:00:00,A,Chargesheet,8,Mysuru District & Sessions Court
172,442,2026-07-15 00:00:00,A,Chargesheet,66,Udupi District & Sessions Court
173,445,2026-04-21 00:00:00,A,Chargesheet,8,Mysuru District & Sessions Court
174,450,2026-04-20 00:00:00,A,Chargesheet,1,Bengaluru Urban District & Sessions Court
175,451,2025-07-03 00:00:00,A,Chargesheet,54,Shivamogga District & Sessions Court
176,453,2026-07-15 00:00:00,A,Chargesheet,3,Bengaluru Urban District & Sessions Court
177,456,2025-08-21 00:00:00,A,Chargesheet,19,Hubballi-Dharwad District & Sessions Court
178,459,2025-11-09 00:00:00,A,Chargesheet,8,Mysuru District & Sessions Court
179,464,2026-07-15 00:00:00,A,Chargesheet,45,Vijayapura District & Sessions Court
180,470,2026-03-24 00:00:00,A,Chargesheet,39,Ballari District & Sessions Court
181,474,2026-07-15 00:00:00,A,Chargesheet,28,Belagavi District & Sessions Court
182,477,2026-05-12 00:00:00,A,Chargesheet,41,Ballari District & Sessions Court
183,479,2026-07-15 00:00:00,A,Chargesheet,25,Belagavi District & Sessions Court
184,483,2026-05-26 00:00:00,A,Chargesheet,42,Ballari District & Sessions Court
185,485,2026-05-07 00:00:00,A,Chargesheet,70,Mandya District & Sessions Court
186,492,2026-03-07 00:00:00,A,Chargesheet,71,Mandya District & Sessions Court
187,493,2026-04-24 00:00:00,A,Chargesheet,60,Tumakuru District & Sessions Court
188,495,2025-06-13 00:00:00,A,Chargesheet,70,Mandya District & Sessions Court
189,497,2025-11-19 00:00:00,A,Chargesheet,46,Vijayapura District & Sessions Court
190,498,2026-01-02 00:00:00,A,Chargesheet,26,Belagavi District & Sessions Court
191,500,2026-06-07 00:00:00,A,Chargesheet,42,Ballari District & Sessions Court
