CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,104080015202500001,202500001,2025-11-21,44,15,1,2,4,11,4,8,2025-11-19 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,16.816545547852108,75.67822124387602,Cybercrime reported under city limits of Vijayapura. Modus operandi: otp fraud.
12,104040007202600001,202600001,2026-07-11,21,7,1,2,1,9,2,,2026-07-09 00:00:00,2026-07-10 00:00:00,2026-07-11 00:00:00,15.442255465139448,75.09732692521158,Assault reported under city limits of Hubballi-Dharwad. Modus operandi: personal enmity.
13,104060011202600001,202600001,2026-03-22,31,11,1,2,2,4,2,,2026-03-20 00:00:00,2026-03-21 00:00:00,2026-03-22 00:00:00,17.291751121187396,76.80102706632874,Vehicle Theft reported under city limits of Kalaburagi. Modus operandi: vehicle lifting.
14,104060012202600001,202600001,2026-04-13,35,12,1,2,1,9,3,6,2026-04-12 00:00:00,2026-04-13 00:00:00,2026-04-13 00:00:00,17.251243828034774,76.7650469717646,Assault reported under rural limits of Kalaburagi. Modus operandi: personal enmity.
15,104080015202600001,202600001,2026-04-08,45,15,1,2,2,4,3,8,2026-04-06 00:00:00,2026-04-07 00:00:00,2026-04-08 00:00:00,16.866663110577317,75.62393450181,Vehicle Theft reported under city limits of Vijayapura. Modus operandi: vehicle lifting.
16,104050010202500001,202500001,2025-02-28,29,10,1,1,2,5,3,5,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-02-28 00:00:00,15.823848124321364,74.43249989318642,Robbery reported under rural limits of Belagavi. Modus operandi: armed robbery.
17,304070013202600001,202600001,2026-02-17,38,13,3,2,2,4,1,,2026-02-15 00:00:00,2026-02-16 00:00:00,2026-02-17 00:00:00,15.12344713486787,76.89362998114304,Vehicle Theft reported under city limits of Ballari. Modus operandi: duplicate key.
18,104050009202600001,202600001,2026-01-21,27,9,1,1,1,8,3,5,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-21 00:00:00,15.783305749132111,74.58125241829529,Attempt to Murder reported under city limits of Belagavi. Modus operandi: personal enmity.
19,104070013202600001,202600001,2026-06-26,39,13,1,2,2,1,1,,2026-06-26 00:00:00,2026-06-27 00:00:00,2026-06-26 00:00:00,15.083802636773884,76.95369491095525,Burglary reported under city limits of Ballari. Modus operandi: lock breaking.
20,104020003202500002,202500002,2025-04-01,9,3,1,2,2,3,3,2,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-01 00:00:00,12.232884770989605,76.62582160272692,Chain Snatching reported under city limits of Mysuru. Modus operandi: crowded market.
21,104080015202500002,202500002,2025-07-16,45,15,1,2,2,4,1,,2025-07-16 00:00:00,2025-07-17 00:00:00,2025-07-16 00:00:00,16.861422221432257,75.67860269402154,Vehicle Theft reported under city limits of Vijayapura. Modus operandi: vehicle lifting.
22,104050009202600002,202600002,2026-03-18,26,9,1,2,2,4,2,,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-18 00:00:00,15.813453608055413,74.42554880121239,Vehicle Theft reported under city limits of Belagavi. Modus operandi: duplicate key.
23,104020004202600001,202600001,2026-05-19,11,4,1,2,3,10,2,,2026-05-18 00:00:00,2026-05-19 00:00:00,2026-05-19 00:00:00,12.29930408500526,76.58882143876104,Cheating & Fraud reported under rural limits of Mysuru. Modus operandi: impersonation.
24,304010002202600001,202600001,2026-06-20,5,2,3,2,2,4,3,1,2026-06-20 00:00:00,2026-06-21 00:00:00,2026-06-20 00:00:00,13.024156362026371,77.55298362096343,Vehicle Theft reported under rural limits of Bengaluru Urban. Modus operandi: duplicate key.
25,104080016202500001,202500001,2025-04-14,47,16,1,2,2,4,2,,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-14 00:00:00,16.821105724577606,75.68207818873226,Vehicle Theft reported under rural limits of Vijayapura. Modus operandi: vehicle lifting.
26,104080016202500002,202500002,2025-04-20,46,16,1,2,2,4,1,,2025-04-20 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,16.860427596010084,75.75955552854109,Vehicle Theft reported under rural limits of Vijayapura. Modus operandi: duplicate key.
27,304070014202500001,202500001,2025-07-11,40,14,3,1,2,5,2,,2025-07-10 00:00:00,2025-07-11 00:00:00,2025-07-11 00:00:00,15.113841847079433,76.87951599500944,Robbery reported under rural limits of Ballari. Modus operandi: two wheeler getaway.
28,104040008202600001,202600001,2026-05-26,23,8,1,1,1,8,3,4,2026-05-24 00:00:00,2026-05-25 00:00:00,2026-05-26 00:00:00,15.372761924143694,75.17288257491401,Attempt to Murder reported under rural limits of Hubballi-Dharwad. Modus operandi: personal enmity.
29,104070014202500001,202500001,2025-08-11,42,14,1,2,5,15,3,7,2025-08-11 00:00:00,2025-08-12 00:00:00,2025-08-11 00:00:00,15.178262856286578,76.90723626081702,Rioting reported under rural limits of Ballari. Modus operandi: communal.
30,104050009202500001,202500001,2025-06-17,26,9,1,2,2,1,3,5,2025-06-17 00:00:00,2025-06-18 00:00:00,2025-06-17 00:00:00,15.789701134672203,74.5564230951991,Burglary reported under city limits of Belagavi. Modus operandi: lock breaking.
31,104030006202600001,202600001,2026-05-19,16,6,1,2,5,15,3,3,2026-05-18 00:00:00,2026-05-19 00:00:00,2026-05-19 00:00:00,12.946682910549827,74.80444295944086,Rioting reported under rural limits of Dakshina Kannada. Modus operandi: communal.
32,104050010202600002,202600002,2026-03-05,30,10,1,2,2,1,2,,2026-03-04 00:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,15.910596795815788,74.49910919263475,Burglary reported under rural limits of Belagavi. Modus operandi: lock breaking.
33,104090017202600002,202600002,2026-01-29,51,17,1,2,4,11,4,9,2026-01-29 00:00:00,2026-01-30 00:00:00,2026-01-29 00:00:00,13.932704979337379,75.54887253170311,Cybercrime reported under city limits of Shivamogga. Modus operandi: otp fraud.
34,104050010202600003,202600003,2026-03-20,29,10,1,1,5,14,3,5,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-20 00:00:00,15.784284443154744,74.54146137180253,Extortion reported under rural limits of Belagavi. Modus operandi: threat call.
35,104100019202600004,202600004,2026-06-28,55,19,1,2,5,15,1,,2026-06-25 00:00:00,2026-06-26 00:00:00,2026-06-28 00:00:00,13.275514270607008,77.15205188151002,Rioting reported under city limits of Tumakuru. Modus operandi: mob.
36,104120023202600001,202600001,2026-01-17,69,23,1,2,2,2,2,,2026-01-15 00:00:00,2026-01-16 00:00:00,2026-01-17 00:00:00,12.495845017638244,76.91083545175809,House Theft reported under city limits of Mandya. Modus operandi: insider info.
37,104090017202500001,202500001,2025-02-06,50,17,1,1,2,5,3,9,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-06 00:00:00,13.89045169539526,75.5111944639258,Robbery reported under city limits of Shivamogga. Modus operandi: two wheeler getaway.
38,104030005202600001,202600001,2026-03-25,13,5,1,2,2,3,3,3,2026-03-22 00:00:00,2026-03-23 00:00:00,2026-03-25 00:00:00,12.889498296494967,74.81205076904408,Chain Snatching reported under city limits of Dakshina Kannada. Modus operandi: crowded market.
39,104050009202500002,202500002,2025-02-20,27,9,1,2,2,4,1,,2025-02-19 00:00:00,2025-02-20 00:00:00,2025-02-20 00:00:00,15.806894103635848,74.53301525365542,Vehicle Theft reported under city limits of Belagavi. Modus operandi: vehicle lifting.
40,104080015202500003,202500003,2025-09-23,43,15,1,2,1,9,3,8,2025-09-22 00:00:00,2025-09-23 00:00:00,2025-09-23 00:00:00,16.835327304256896,75.6349234068673,Assault reported under city limits of Vijayapura. Modus operandi: personal enmity.
41,104020003202500003,202500003,2025-12-21,8,3,1,1,1,13,3,2,2025-12-18 00:00:00,2025-12-19 00:00:00,2025-12-21 00:00:00,12.296897224736586,76.5977603571169,Kidnapping reported under city limits of Mysuru. Modus operandi: personal enmity.
42,104080016202600001,202600001,2026-06-29,47,16,1,2,3,10,2,,2026-06-26 00:00:00,2026-06-27 00:00:00,2026-06-29 00:00:00,16.740288969836943,75.7902152096061,Cheating & Fraud reported under rural limits of Vijayapura. Modus operandi: fake investment.
43,304040007202600001,202600001,2026-01-26,21,7,3,2,2,3,2,,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-01-26 00:00:00,15.412946917696669,75.03788017651624,Chain Snatching reported under city limits of Hubballi-Dharwad. Modus operandi: two wheeler getaway.
44,104040007202600002,202600002,2026-03-10,20,7,1,1,1,7,4,4,2026-03-08 00:00:00,2026-03-09 00:00:00,2026-03-10 00:00:00,15.295503424553013,75.13603725764062,Murder reported under city limits of Hubballi-Dharwad. Modus operandi: personal enmity.
45,104110021202500001,202500001,2025-02-09,62,21,1,2,4,11,2,,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-09 00:00:00,13.345835875711963,74.81373654247298,Cybercrime reported under city limits of Udupi. Modus operandi: impersonation.
46,104060012202600002,202600002,2026-07-02,35,12,1,2,2,4,2,,2026-06-29 00:00:00,2026-06-30 00:00:00,2026-07-02 00:00:00,17.40535801453311,76.77560348557606,Vehicle Theft reported under rural limits of Kalaburagi. Modus operandi: duplicate key.
47,104060012202500001,202500001,2025-10-21,35,12,1,2,4,11,2,,2025-10-18 00:00:00,2025-10-19 00:00:00,2025-10-21 00:00:00,17.26133497946225,76.91533853407316,Cybercrime reported under rural limits of Kalaburagi. Modus operandi: fake upi link.
48,304060011202600001,202600001,2026-05-08,32,11,3,2,2,3,2,,2026-05-07 00:00:00,2026-05-08 00:00:00,2026-05-08 00:00:00,17.252990461129507,76.80981239900757,Chain Snatching reported under city limits of Kalaburagi. Modus operandi: crowded market.
49,104040007202600003,202600003,2026-06-25,21,7,1,2,2,3,3,4,2026-06-23 00:00:00,2026-06-24 00:00:00,2026-06-25 00:00:00,15.432919458479434,75.06827758845967,Chain Snatching reported under city limits of Hubballi-Dharwad. Modus operandi: crowded market.
50,104060012202600003,202600003,2026-03-26,35,12,1,1,2,5,1,,2026-03-24 00:00:00,2026-03-25 00:00:00,2026-03-26 00:00:00,17.34295186602771,76.75552201978229,Robbery reported under rural limits of Kalaburagi. Modus operandi: two wheeler getaway.
51,104120023202500001,202500001,2025-06-04,67,23,1,2,2,1,3,12,2025-06-01 00:00:00,2025-06-02 00:00:00,2025-06-04 00:00:00,12.553413166585564,76.86531055430844,Burglary reported under city limits of Mandya. Modus operandi: lock breaking.
52,104060011202600002,202600002,2026-02-09,33,11,1,2,5,15,3,6,2026-02-06 00:00:00,2026-02-07 00:00:00,2026-02-09 00:00:00,17.40656365122441,76.74794466498606,Rioting reported under city limits of Kalaburagi. Modus operandi: mob.
53,104080015202600002,202600002,2026-03-29,43,15,1,2,2,2,3,8,2026-03-29 00:00:00,2026-03-30 00:00:00,2026-03-29 00:00:00,16.85489512052834,75.62891478928736,House Theft reported under city limits of Vijayapura. Modus operandi: lock breaking.
54,104110022202500002,202500002,2025-07-02,65,22,1,2,2,2,2,,2025-06-30 00:00:00,2025-07-01 00:00:00,2025-07-02 00:00:00,13.296387751830368,74.78289584293532,House Theft reported under rural limits of Udupi. Modus operandi: lock breaking.
55,804110022202500001,202500001,2025-11-11,64,22,8,2,2,3,2,,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-11 00:00:00,13.26694044935666,74.7403389931567,Chain Snatching reported under rural limits of Udupi. Modus operandi: two wheeler getaway.
56,104020003202600002,202600002,2026-05-02,9,3,1,2,2,1,2,,2026-05-01 00:00:00,2026-05-02 00:00:00,2026-05-02 00:00:00,12.206042970879189,76.63867660508546,Burglary reported under city limits of Mysuru. Modus operandi: cctv blindspot.
57,104060011202500002,202500002,2025-03-25,31,11,1,1,2,5,2,,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-25 00:00:00,17.29183914470747,76.86003239173274,Robbery reported under city limits of Kalaburagi. Modus operandi: two wheeler getaway.
58,104110021202500002,202500002,2025-11-23,61,21,1,2,3,10,2,,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-23 00:00:00,13.329573350051977,74.79115851617455,Cheating & Fraud reported under city limits of Udupi. Modus operandi: impersonation.
59,104040007202500001,202500001,2025-05-17,21,7,1,1,2,6,2,,2025-05-17 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,15.333892385803907,75.08876686267648,Dacoity reported under city limits of Hubballi-Dharwad. Modus operandi: armed robbery.
60,104120023202600002,202600002,2026-03-06,67,23,1,1,2,5,2,,2026-03-06 00:00:00,2026-03-07 00:00:00,2026-03-06 00:00:00,12.550120925214328,76.87388316526506,Robbery reported under city limits of Mandya. Modus operandi: two wheeler getaway.
61,104080015202600003,202600003,2026-04-15,45,15,1,2,2,2,4,8,2026-04-15 00:00:00,2026-04-16 00:00:00,2026-04-15 00:00:00,16.752777215484343,75.79922239345032,House Theft reported under city limits of Vijayapura. Modus operandi: lock breaking.
62,104040007202600004,202600004,2026-04-10,21,7,1,1,1,7,4,4,2026-04-10 00:00:00,2026-04-11 00:00:00,2026-04-10 00:00:00,15.2772759745948,75.16345570599287,Murder reported under city limits of Hubballi-Dharwad. Modus operandi: personal enmity.
63,104010001202600001,202600001,2026-02-01,2,1,1,2,3,10,2,,2026-01-31 00:00:00,2026-02-01 00:00:00,2026-02-01 00:00:00,13.001164174325206,77.54638467528895,Cheating & Fraud reported under city limits of Bengaluru Urban. Modus operandi: impersonation.
64,104110022202600001,202600001,2026-06-02,66,22,1,2,2,4,2,,2026-05-31 00:00:00,2026-06-01 00:00:00,2026-06-02 00:00:00,13.404258988128602,74.80844047836065,Vehicle Theft reported under rural limits of Udupi. Modus operandi: vehicle lifting.
65,104090017202600003,202600003,2026-03-27,50,17,1,1,2,5,2,,2026-03-27 00:00:00,2026-03-28 00:00:00,2026-03-27 00:00:00,13.872891033168509,75.6206826648157,Robbery reported under city limits of Shivamogga. Modus operandi: two wheeler getaway.
66,304080016202500001,202500001,2025-12-05,46,16,3,2,4,11,2,,2025-12-02 00:00:00,2025-12-03 00:00:00,2025-12-05 00:00:00,16.777469251849503,75.6618397435965,Cybercrime reported under rural limits of Vijayapura. Modus operandi: otp fraud.
67,104110021202500003,202500003,2025-03-22,61,21,1,2,5,15,3,11,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-22 00:00:00,13.253680409799887,74.78003902412522,Rioting reported under city limits of Udupi. Modus operandi: mob.
68,104090017202600004,202600004,2026-07-11,51,17,1,2,2,4,4,9,2026-07-11 00:00:00,2026-07-12 00:00:00,2026-07-11 00:00:00,13.866990993756428,75.64834186112452,Vehicle Theft reported under city limits of Shivamogga. Modus operandi: duplicate key.
69,104020003202500004,202500004,2025-03-13,7,3,1,2,2,4,3,2,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-13 00:00:00,12.381826890599168,76.56390766447,Vehicle Theft reported under city limits of Mysuru. Modus operandi: duplicate key.
70,104050009202500003,202500003,2025-07-02,26,9,1,2,3,10,1,,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,15.812369757483527,74.43537194862012,Cheating & Fraud reported under city limits of Belagavi. Modus operandi: fake investment.
71,104090018202500002,202500002,2025-12-20,52,18,1,2,2,2,3,9,2025-12-18 00:00:00,2025-12-19 00:00:00,2025-12-20 00:00:00,13.882061254165695,75.61807007995378,House Theft reported under rural limits of Shivamogga. Modus operandi: lock breaking.
72,104110021202600001,202600001,2026-04-09,61,21,1,2,2,2,4,11,2026-04-06 00:00:00,2026-04-07 00:00:00,2026-04-09 00:00:00,13.30187558693029,74.82955446990243,House Theft reported under city limits of Udupi. Modus operandi: lock breaking.
73,104020003202600003,202600003,2026-04-18,9,3,1,1,1,7,3,2,2026-04-15 00:00:00,2026-04-16 00:00:00,2026-04-18 00:00:00,12.33833856377676,76.55668553586173,Murder reported under city limits of Mysuru. Modus operandi: personal enmity.
74,104030005202600002,202600002,2026-06-05,15,5,1,1,1,8,4,3,2026-06-03 00:00:00,2026-06-04 00:00:00,2026-06-05 00:00:00,12.976635927607678,74.91571456885804,Attempt to Murder reported under city limits of Dakshina Kannada. Modus operandi: personal enmity.
75,104010001202600002,202600002,2026-04-09,2,1,1,2,2,2,3,1,2026-04-07 00:00:00,2026-04-08 00:00:00,2026-04-09 00:00:00,12.946705722099543,77.5465655299373,House Theft reported under city limits of Bengaluru Urban. Modus operandi: lock breaking.
76,104100019202600005,202600005,2026-01-11,56,19,1,2,3,10,2,,2026-01-09 00:00:00,2026-01-10 00:00:00,2026-01-11 00:00:00,13.292832573079131,77.12146819911916,Cheating & Fraud reported under city limits of Tumakuru. Modus operandi: impersonation.
77,104030005202500001,202500001,2025-12-28,14,5,1,2,5,15,4,3,2025-12-27 00:00:00,2025-12-28 00:00:00,2025-12-28 00:00:00,12.885645968307182,74.8811634626789,Rioting reported under city limits of Dakshina Kannada. Modus operandi: communal.
78,104010002202600001,202600001,2026-02-22,4,2,1,2,4,11,3,1,2026-02-22 00:00:00,2026-02-23 00:00:00,2026-02-22 00:00:00,12.974143413206004,77.63247229818292,Cybercrime reported under rural limits of Bengaluru Urban. Modus operandi: fake upi link.
79,104050009202500004,202500004,2025-07-02,26,9,1,2,2,1,3,5,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00,15.769736037145183,74.46979521489217,Burglary reported under city limits of Belagavi. Modus operandi: cctv blindspot.
80,104010001202500001,202500001,2025-07-22,1,1,1,2,2,4,4,1,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,12.997699689034745,77.65760563781056,Vehicle Theft reported under city limits of Bengaluru Urban. Modus operandi: duplicate key.
81,104070013202500001,202500001,2025-07-27,38,13,1,2,3,10,2,,2025-07-27 00:00:00,2025-07-28 00:00:00,2025-07-27 00:00:00,15.137547339602001,76.90917140706313,Cheating & Fraud reported under city limits of Ballari. Modus operandi: impersonation.
82,104100020202500001,202500001,2025-06-30,58,20,1,2,4,11,2,,2025-06-29 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,13.320603292914665,77.1473639681425,Cybercrime reported under rural limits of Tumakuru. Modus operandi: impersonation.
83,104110021202500004,202500004,2025-12-25,61,21,1,1,6,12,1,,2025-12-23 00:00:00,2025-12-24 00:00:00,2025-12-25 00:00:00,13.274271763108297,74.76008138297162,Drug Trafficking reported under city limits of Udupi. Modus operandi: drug courier.
84,104120024202500001,202500001,2025-10-23,72,24,1,2,2,2,2,,2025-10-21 00:00:00,2025-10-22 00:00:00,2025-10-23 00:00:00,12.570035125729813,76.91991241209637,House Theft reported under rural limits of Mandya. Modus operandi: lock breaking.
85,104110021202500005,202500005,2025-12-31,63,21,1,1,2,5,2,,2025-12-31 00:00:00,2026-01-01 00:00:00,2025-12-31 00:00:00,13.32780423627384,74.7152743663596,Robbery reported under city limits of Udupi. Modus operandi: two wheeler getaway.
86,804010002202600001,202600001,2026-01-26,4,2,8,1,2,5,2,,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-01-26 00:00:00,12.99476684422549,77.67130459224842,Robbery reported under rural limits of Bengaluru Urban. Modus operandi: two wheeler getaway.
87,104080016202500003,202500003,2025-10-10,46,16,1,2,2,4,3,8,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-10 00:00:00,16.77964217420649,75.64374478114303,Vehicle Theft reported under rural limits of Vijayapura. Modus operandi: vehicle lifting.
88,104050010202500002,202500002,2025-07-23,30,10,1,2,2,2,2,,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-07-23 00:00:00,15.825661247240193,74.50602265686243,House Theft reported under rural limits of Belagavi. Modus operandi: insider info.
89,104030005202600003,202600003,2026-05-01,15,5,1,1,2,5,2,,2026-05-01 00:00:00,2026-05-02 00:00:00,2026-05-01 00:00:00,12.883532416437193,74.76783246470522,Robbery reported under city limits of Dakshina Kannada. Modus operandi: two wheeler getaway.
90,104070014202600001,202600001,2026-04-15,41,14,1,2,4,11,3,7,2026-04-12 00:00:00,2026-04-13 00:00:00,2026-04-15 00:00:00,15.079346810719557,76.93066449787804,Cybercrime reported under rural limits of Ballari. Modus operandi: otp fraud.
91,104040007202500002,202500002,2025-12-23,19,7,1,2,4,11,2,,2025-12-23 00:00:00,2025-12-24 00:00:00,2025-12-23 00:00:00,15.371945065267196,75.08727516273595,Cybercrime reported under city limits of Hubballi-Dharwad. Modus operandi: otp fraud.
92,104100019202500001,202500001,2025-04-13,57,19,1,2,2,3,2,,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,13.422542132427543,77.17754567369371,Chain Snatching reported under city limits of Tumakuru. Modus operandi: crowded market.
93,104030005202500002,202500002,2025-03-10,14,5,1,1,2,5,2,,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-10 00:00:00,12.962757002225517,74.84448023758269,Robbery reported under city limits of Dakshina Kannada. Modus operandi: armed robbery.
94,104020003202600004,202600004,2026-07-05,8,3,1,2,2,4,2,,2026-07-05 00:00:00,2026-07-06 00:00:00,2026-07-05 00:00:00,12.342032569338754,76.65402554256897,Vehicle Theft reported under city limits of Mysuru. Modus operandi: duplicate key.
95,104010001202500002,202500002,2025-03-07,2,1,1,2,2,4,1,,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-07 00:00:00,12.927746837514826,77.65141823008693,Vehicle Theft reported under city limits of Bengaluru Urban. Modus operandi: vehicle lifting.
96,104040008202600002,202600002,2026-07-11,22,8,1,2,4,11,2,,2026-07-11 00:00:00,2026-07-12 00:00:00,2026-07-11 00:00:00,15.285369450359418,75.09409787027258,Cybercrime reported under rural limits of Hubballi-Dharwad. Modus operandi: otp fraud.
97,104040007202600005,202600005,2026-01-22,21,7,1,1,2,5,2,,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-22 00:00:00,15.339127348775788,75.17499529366474,Robbery reported under city limits of Hubballi-Dharwad. Modus operandi: two wheeler getaway.
98,104010001202500003,202500003,2025-11-09,3,1,1,1,1,7,2,,2025-11-08 00:00:00,2025-11-09 00:00:00,2025-11-09 00:00:00,12.907207399870641,77.5240633705495,Murder reported under city limits of Bengaluru Urban. Modus operandi: premeditated.
99,104030006202500001,202500001,2025-11-16,18,6,1,2,3,10,3,3,2025-11-16 00:00:00,2025-11-17 00:00:00,2025-11-16 00:00:00,12.865597013149783,74.94189489536359,Cheating & Fraud reported under rural limits of Dakshina Kannada. Modus operandi: impersonation.
100,104100020202600001,202600001,2026-01-28,59,20,1,2,2,3,3,10,2026-01-28 00:00:00,2026-01-29 00:00:00,2026-01-28 00:00:00,13.349041939414665,77.13581112226956,Chain Snatching reported under rural limits of Tumakuru. Modus operandi: crowded market.
101,104010001202500004,202500004,2025-12-22,2,1,1,2,2,1,2,,2025-12-22 00:00:00,2025-12-23 00:00:00,2025-12-22 00:00:00,12.929498489902727,77.64186400179322,Burglary reported under city limits of Bengaluru Urban. Modus operandi: lock breaking.
102,104060011202600003,202600003,2026-06-10,33,11,1,2,2,2,3,6,2026-06-08 00:00:00,2026-06-09 00:00:00,2026-06-10 00:00:00,17.356681923864222,76.88237528213598,House Theft reported under city limits of Kalaburagi. Modus operandi: lock breaking.
103,304080016202600001,202600001,2026-04-10,48,16,3,2,2,3,2,,2026-04-09 00:00:00,2026-04-10 00:00:00,2026-04-10 00:00:00,16.778899666080065,75.70444635363295,Chain Snatching reported under rural limits of Vijayapura. Modus operandi: crowded market.
104,104030005202600004,202600004,2026-02-16,13,5,1,2,4,11,4,3,2026-02-13 00:00:00,2026-02-14 00:00:00,2026-02-16 00:00:00,13.003796346740238,74.82749699615779,Cybercrime reported under city limits of Dakshina Kannada. Modus operandi: fake upi link.
105,804030006202500001,202500001,2025-04-21,16,6,8,2,2,2,4,3,2025-04-18 00:00:00,2025-04-19 00:00:00,2025-04-21 00:00:00,12.966669981277919,74.90265228337515,House Theft reported under rural limits of Dakshina Kannada. Modus operandi: lock breaking.
106,104020003202600005,202600005,2026-03-05,8,3,1,1,1,7,2,,2026-03-04 00:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,12.366200703856721,76.70866535302773,Murder reported under city limits of Mysuru. Modus operandi: premeditated.
107,104080015202600004,202600004,2026-01-19,43,15,1,1,1,8,3,8,2026-01-18 00:00:00,2026-01-19 00:00:00,2026-01-19 00:00:00,16.844921973766574,75.65043582884594,Attempt to Murder reported under city limits of Vijayapura. Modus operandi: personal enmity.
108,104040008202600003,202600003,2026-01-01,24,8,1,2,2,1,2,,2025-12-31 00:00:00,2026-01-01 00:00:00,2026-01-01 00:00:00,15.313391479894332,75.18415977247152,Burglary reported under rural limits of Hubballi-Dharwad. Modus operandi: cctv blindspot.
109,104050010202500003,202500003,2025-06-28,30,10,1,2,2,1,3,5,2025-06-28 00:00:00,2025-06-29 00:00:00,2025-06-28 00:00:00,15.8155188544726,74.55790154993049,Burglary reported under rural limits of Belagavi. Modus operandi: night break in.
